,n_estimators,max_depth,min_samples_split,accuracy,auc_roc,sensitivity,specificity
0,50,,2,0.8194950546590317,0.891399175940326,0.6415730337078651,0.9142401276426008
1,100,,2,0.825351379489849,0.8961113376926627,0.653558052434457,0.9168328679696849
2,200,,2,0.8266527850078085,0.8979683478021839,0.6576779026217229,0.916633426406063
3,50,,5,0.8245705361790734,0.8954732367348951,0.6606741573033708,0.9118468288791384
4,100,,5,0.8269130661114004,0.8985498656197105,0.6617977528089888,0.9148384523334663
5,200,,5,0.8280843310775637,0.899549052914013,0.6659176029962547,0.9144395692062226
6,50,,10,0.8247006767308693,0.8930846812445751,0.6576779026217229,0.9136418029517351
7,100,,10,0.825481520041645,0.8962396675077573,0.6599250936329588,0.9136418029517351
8,200,,10,0.82756376887038,0.8978628379862228,0.6599250936329588,0.9168328679696849
9,50,10.0,2,0.7376366475793857,0.8623787477460115,0.27640449438202247,0.9832469086557638
10,100,10.0,2,0.730609057782405,0.8637054823273858,0.25131086142322095,0.985839648982848
11,200,10.0,2,0.7315200416449765,0.8633058148793863,0.2554307116104869,0.9850418827283606
12,50,10.0,5,0.7384174908901614,0.8641184832282344,0.2737827715355805,0.985839648982848
13,100,10.0,5,0.7312597605413846,0.8644465907444175,0.25131086142322095,0.9868368568009573
14,200,10.0,5,0.7313899010931806,0.8647539324348752,0.2531835205992509,0.9860390905464699
15,50,10.0,10,0.7390681936491411,0.8627923462245787,0.2794007490636704,0.9838452333466294
16,100,10.0,10,0.7300884955752213,0.8653937887771918,0.24831460674157305,0.9866374152373355
17,200,10.0,10,0.7308693388859969,0.8658597500033615,0.250561797752809,0.9866374152373355
18,50,20.0,2,0.7894325871941698,0.8767322284121315,0.48314606741573035,0.9525329078579976
19,100,20.0,2,0.7859187922956793,0.8798435541532399,0.46853932584269664,0.9549262066214599
20,200,20.0,2,0.7886517438833941,0.8801814096559595,0.47340823970037454,0.9565217391304348
21,50,20.0,5,0.7959396147839667,0.8794050815021313,0.5097378277153558,0.9483446350219386
22,100,20.0,5,0.7911244143675169,0.8800213335245581,0.4805243445692884,0.9565217391304348
23,200,20.0,5,0.7911244143675169,0.8802889736453287,0.48164794007490636,0.9559234144395692
24,50,20.0,10,0.7893024466423738,0.8799255716951337,0.4779026217228464,0.9551256481850817
25,100,20.0,10,0.7925559604372723,0.8817955417714295,0.47677902621722845,0.9607100119664939
26,200,20.0,10,0.7900832899531494,0.8811704007804365,0.4715355805243446,0.9597128041483846
27,50,30.0,2,0.8066111400312337,0.8853963957099895,0.5565543071161049,0.9397686477861986
28,100,30.0,2,0.8101249349297241,0.8890798647681623,0.5621722846441948,0.9421619465496609
29,200,30.0,2,0.8093440916189485,0.8897264438598143,0.5644194756554307,0.9397686477861986
30,50,30.0,5,0.8070015616866215,0.8871650763629627,0.5584269662921348,0.9393697646589549
31,100,30.0,5,0.8111660593440916,0.8892826677064519,0.5700374531835206,0.9395692062225768
32,200,30.0,5,0.8106454971369078,0.8897389182946924,0.5681647940074906,0.9397686477861986
33,50,30.0,10,0.8115564809994794,0.887948052568912,0.5846441947565543,0.9323893099321898
34,100,30.0,10,0.8106454971369078,0.8888586116178072,0.5722846441947566,0.9375747905863582
35,200,30.0,10,0.8128578865174388,0.8903719771904585,0.5722846441947566,0.9409652971679298
